id,name,type,industry
IP_041d050417c6e756cece13fbcdf11180953eac693ab3a691ee2259411fbcc8cb,172.67.xxx.xxx,IP,[]
Domain_d7bf1e09f0fbf77d709bf3bdb51626142fdd152db5a68f4ae827b9b5f82e71c8,d7bf1e09f0.com,Domain,['A']
Domain_f1f5cb0a2b9dc31dcae506cea3644971d95a7561e3d2bc61bbf960c018a6fa48,f1f5cb0a2b.com,Domain,['A']
Domain_3312c00666d2fca45d886cbf89fb418235bcaab48b7687b27ce48c9a40645405,3312c00666.com,Domain,['A']
Domain_03a94d6581afd16aff31c84bb04b491ca7213ffee4e26524af9fc23e4296f92c,03a94d6581.com,Domain,['A']
Domain_d3a17251d3811ff2bd9fd8bdfb0001f8f6e35f588ec8753d63ce2c92e72e5998,d3a17251d3.com,Domain,['A']
Domain_db2be355b548eee55ea5f559dd255b07f95ba8780a1f75afbd1f94fa434490f0,db2be355b5.com,Domain,['A']
Domain_a39ab870cee1b3a321fd6317acc5c7d5afed606dd846ab194eb55bf02ceb8357,a39ab870ce.com,Domain,['A']
Domain_a860ccafce082881e98fb58b141508c8511aa8aaab3e810d7db7f6056cb8d456,a860ccafce.com,Domain,['A']
Domain_b3e1f7f87179b6793e99955d9d7079513675cdac3e33b2f088711b3b3d605d0a,b3e1f7f871.com,Domain,['B']
Domain_9df3121aaa2d07c9a185fe07478830dd0056ba1de7ef8fd202fdf4e0a8e62bd4,9df3121aaa.com,Domain,['A']
Domain_aa6c53dbc4b79b0dab60070fe037f324050cba3a55e2762ca0e7e4194ffd0b3c,aa6c53dbc4.com,Domain,['A']
Domain_d11b3a179bf7b11f13bcded3f88d199605f600ff32f1702bae931399857b8d2a,d11b3a179b.com,Domain,['A']
Domain_eb561236554c13695a07f0bb6cbe4fef94dd134572aadb17b4eb181e2638f6fb,eb56123655.com,Domain,['A']
Domain_1ec5ea171c691bfdcd1acf697f2f9b0b545c9ae73a82e67e1a0ebfcb54f5aeeb,1ec5ea171c.com,Domain,['A']
